use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
2012	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	15950.0	0.0	3700.0	0.0	0.0	0.0	15350.0	6650.0	2050.0	43700.0
2013	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	16000.0	0.0	10250.0	0.0	0.0	0.0	8250.0	0.0	0.0	0.0	0.0	34500.0
2015	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	6000.0	0.0	0.0	0.0	15000.0	6000.0	0.0	0.0	27000.0
2016	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	5000.0	7000.0	0.0	6000.0	12000.0	3000.0	0.0	0.0	33000.0
2017	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						167395.0	282952.0	180292.0	56155.0	315210.0	60635.0	237099.0	61108.0	60854.0	24781.0	81962.0	221291.0	1749734.0
2018	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50000.0
2022	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250000.0
2023	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	9000.0	8000.0	6350.0	5000.0	18000.0	23000.0	15000.0	0.0	0.0	84350.0
1979	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4050000.0	3836000.0	4170000.0	4170000.0	4200000.0	4290000.0	4500000.0	4800000.0	4650000.0	4500000.0	4440000.0	4350000.0	51956000.0
1980	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4650000.0	4060000.0	4655000.0	4653000.0	4960000.0	4950000.0	5580000.0	5700000.0	5400000.0	4960000.0	4650000.0	4655000.0	58873000.0
1981	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1602240.0	2013540.0	1655490.0	1970070.0	1729510.0	1655430.0	1630760.0	1509280.0	1587820.0	1957310.0	1703770.0	1686810.0	20702030.0
1982	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3845000.0	4105500.0	3500100.0	3349800.0	4013900.0	6178800.0	5207580.0	6092550.0	5003100.0	4322490.0	4042200.0	3455040.0	53116060.0
1983	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4980000.0	5360000.0	5180000.0	5477000.0	5502000.0	6113000.0	6817000.0	6166000.0	5189000.0	5013000.0	5690000.0	5980000.0	67467000.0
1984	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3499000.0	3317760.0	3401000.0	3465600.0	4031000.0	4542000.0	6126000.0	6079500.0	4590000.0	4010000.0	3773760.0	4099200.0	50934820.0
1985	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3347640.0	4089400.0	4329440.0	5948600.0	6171800.0	6890300.0	7387500.0	6480200.0	5308500.0	3889000.0	2510559.0	3980400.0	60333339.0
1986	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3286000.0	3171840.0	3942207.0	3549978.0	3248091.0	5848070.0	4735108.0	5626500.0	6130928.0	5395500.0	3380145.0	4562989.0	52877356.0
