wkt_geom,id,gwe_ft,well_depth,aquifer,x_2266,y_2266,x_2265,y_2265
Point (2934844.78188426699489355 -216450.20455027910065837),53,949,25,wsp,2934454.805,269388.2971,2934844.782,-216450.2046
Point (2912162.9283691574819386 -219417.64911637498880737),54,945,72,wsp,2911779.616,266444.171,2912162.928,-219417.6491
Point (2930290.78279768396168947 -220886.68107978880289011),55,936,127,wsp,2929898.372,264958.167,2930290.783,-220886.6811
Point (2930232.02151914732530713 -222385.0936824708187487),56,931,125,wsp,2929838.168,263460.4491,2930232.022,-222385.0937
Point (2945318.97978340648114681 -218168.97194747318280861),57,952,70,wsp,2944922.889,267659.8859,2945318.98,-218168.9719
Point (2950827.84964620787650347 -221826.86153637350071222),58,944,80,wsp,2950425.77,263998.052,2950827.85,-221826.8615
Point (2946788.01174682006239891 -223927.57724405528279021),59,950,27.8,wsp,2946385.562,261902.2679,2946788.012,-223927.5772
Point (2945289.599144137930125 -224412.3577919818344526),60,950.8,49,wsp,2944887.309,261419.1869,2945289.599,-224412.3578
Point (2916290.90818634675815701 -224294.83523490861989558),61,946,110,wsp,2915901.145,261565.0793,2916290.908,-224294.8352
Point (2917671.79823195422068238 -227041.9250064924126491),62,951,90,wsp,2917278.79,258817.8332,2917671.798,-227041.925
Point (2924326.51302621839568019 -227203.51852246787166223),63,938,75,wsp,2923930.484,258649.8544,2924326.513,-227203.5185
Point (2927220.50599414389580488 -227203.51852246792986989),64,940,96,wsp,2926823.231,258647.0334,2927220.506,-227203.5185
Point (2908578.49037842359393835 -230244.41468673438066617),65,955,105,wsp,2908186.325,255625.4719,2908578.49,-230244.4147
Point (2912089.47677098261192441 -231786.89824831887381151),66,956,80,wsp,2911694.309,254080.2907,2912089.477,-231786.8982
Point (2912104.1670906157232821 -233549.73660441540414467),67,946,119,wsp,2911707.3,252318.206,2912104.167,-233549.7366
Point (2912956.20562939578667283 -233314.69149026920786127),68,940,100,wsp,2912559.193,252552.3297,2912956.206,-233314.6915
Point (2917818.70142829464748502 -233050.2657368546933867),69,952,90,wsp,2917419.822,252811.953,2917818.701,-233050.2657
Point (2928660.15731828846037388 -232697.69806563531165011),70,934,100,wsp,2928256.891,253153.8296,2928660.157,-232697.6981
Point (2930569.89887072658166289 -236884.43916136477491818),71,934,75,wsp,2930161.699,248967.0563,2930569.899,-236884.4392
Point (2931847.95667889667674899 -237472.05194673029473051),72,934,76,wsp,2931438.617,248378.4505,2931847.957,-237472.0519
Point (2927014.84151926496997476 -237560.19386453507468104),73,944,55,wsp,2926607.549,248295.0742,2927014.842,-237560.1939
Point (2918112.507820975035429 -238397.54208368086256087),74,958,87,wsp,2917708.332,247466.7397,2918112.508,-238397.5421
Point (2911017.08343768725171685 -241967.28975477640051395),75,955,70,wsp,2910612.616,243905.4056,2911017.083,-241967.2898
Point (2931656.98252365132793784 -238412.2324033148761373),76,935,85,wsp,2931246.806,247438.8727,2931656.983,-238412.2324
Point (2929967.59576572477817535 -240586.39970916736638173),77,934,80,wsp,2929556.039,245267.3238,2929967.596,-240586.3997
Point (2927220.50599414017051458 -242334.54774562976672314),78,941,75,wsp,2926808.464,243522.638,2927220.506,-242334.5477
