xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2945581.975_-250808.803,7,Clay,,2945581.975,-250808.8034,695.0290429,694.0290429,,,bh_222,DC,DC
2945611.72_-223187.686,1,,Wahpeton Shallow Sand,2945611.72,-223187.6856,,,931.67,916.67,bh_223,outside_grid,outside_grid
2945655.077_-219411.48,1,Clay,,2945655.077,-219411.4801,960.1224737,940.1224737,,,bh_224,WSS,WSS
2945655.077_-219411.48,2,Aquifer,,2945655.077,-219411.4801,940.1224737,938.1224737,,,bh_224,WSS,WSS
2945655.077_-219411.48,3,Clay,,2945655.077,-219411.4801,938.1224737,934.1224737,,,bh_224,WSS,WSS
2945681.639_-221064.71,1,,Wahpeton Sand Plain,2945681.639,-221064.71,,,841.51,838.51,bh_225,outside_grid,outside_grid
2945681.639_-221064.71,2,,Wahpeton Shallow Sand,2945681.639,-221064.71,,,910.98,907.98,bh_225,outside_grid,outside_grid
2945683.421_-221067.408,1,Clay,,2945683.421,-221067.4075,960.3812696,900.3812696,,,bh_226,drop,drop
2945683.421_-221067.408,2,Aquifer,,2945683.421,-221067.4075,926.3812696,907.3812696,,,bh_226,drop,drop
2945683.421_-221067.408,3,Clay,,2945683.421,-221067.4075,907.3812696,895.3812696,,,bh_226,drop,drop
2945683.421_-221067.408,4,Aquifer,Wahpeton,2945683.421,-221067.4075,895.3812696,650.3812696,,,bh_226,drop,drop
2945683.421_-221067.408,5,Bedrock,,2945683.421,-221067.4075,650.3812696,645.3812696,,,bh_226,drop,drop
2945683.421_-221067.408,6,Clay,,2945683.421,-221067.4075,645.3812696,640.3812696,,,bh_226,drop,drop
2945727.186_-224155.402,1,,Wahpeton Shallow Sand,2945727.186,-224155.4024,,,914.2,911.2,bh_227,outside_grid,outside_grid
2945728.963_-224158.094,1,Clay,,2945728.963,-224158.0941,959.9388831,953.9388831,,,bh_228,WSS,WSS
