xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2947926.073_-221390.828,1,,Wahpeton Shallow Sand,2947926.073,-221390.828,,,942.86,939.86,bh_296,outside_grid,outside_grid
2947927.851_-221393.525,1,Clay,,2947927.851,-221393.5253,966.2640188,958.2640188,,,bh_297,drop,drop
2947927.851_-221393.525,2,Aquifer,,2947927.851,-221393.5253,958.2640188,934.2640188,,,bh_297,drop,drop
2947927.851_-221393.525,3,Clay,,2947927.851,-221393.5253,934.2640188,926.2640188,,,bh_297,drop,drop
2947936.795_-222120.888,1,,Wahpeton Shallow Sand,2947936.795,-222120.8884,,,930.47,925.47,bh_298,drop,drop
2947948.046_-222339.136,1,,Wahpeton Shallow Sand,2947948.046,-222339.1364,,,916.41,906.41,bh_299,outside_grid,outside_grid
2947955.157_-222485.264,1,,Wahpeton Shallow Sand,2947955.157,-222485.2636,,,929.68,924.68,bh_300,outside_grid,outside_grid
2947955.652_-222334.37,1,,Wahpeton Shallow Sand,2947955.652,-222334.3696,,,908,897,bh_301,outside_grid,outside_grid
2947956.067_-221498.907,1,,Wahpeton Shallow Sand,2947956.067,-221498.9066,,,931.95,928.95,bh_302,outside_grid,outside_grid
2947957.428_-222337.065,1,Clay,,2947957.428,-222337.0651,971.7388916,953.7388916,,,bh_303,drop,drop
2947957.428_-222337.065,2,Aquifer,,2947957.428,-222337.0651,953.7388916,886.7388916,,,bh_303,drop,drop
2947957.428_-222337.065,3,Clay,,2947957.428,-222337.0651,886.7388916,879.7388916,,,bh_303,drop,drop
2947957.845_-221501.604,1,Clay,,2947957.845,-221501.6037,973.9495294,961.9495294,,,bh_304,drop,drop
2947957.845_-221501.604,2,Aquifer,,2947957.845,-221501.6037,961.9495294,934.9495294,,,bh_304,drop,drop
2947957.845_-221501.604,3,Clay,,2947957.845,-221501.6037,934.9495294,928.9495294,,,bh_304,drop,drop
2947963.488_-247254.856,1,Clay,,2947963.488,-247254.8559,963.084779,908.084779,,,bh_305,WSS,WSS
2947963.488_-247254.856,2,Aquifer,,2947963.488,-247254.8559,908.084779,903.084779,,,bh_305,WSS,WSS
2947963.488_-247254.856,3,Clay,,2947963.488,-247254.8559,903.084779,718.084779,,,bh_305,DC,DC
2947963.488_-247254.856,4,Aquifer,,2947963.488,-247254.8559,718.084779,714.084779,,,bh_305,DC,DC
2947963.488_-247254.856,5,Clay,,2947963.488,-247254.8559,714.084779,710.084779,,,bh_305,DC,DC
2947963.488_-247254.856,6,Aquifer,,2947963.488,-247254.8559,710.084779,693.084779,,,bh_305,DC,DC
2947963.488_-247254.856,7,Clay,,2947963.488,-247254.8559,693.084779,689.084779,,,bh_305,DC,DC
2948009.594_-222043.794,1,,Wahpeton Shallow Sand,2948009.594,-222043.7945,,,925.48,920.48,bh_306,outside_grid,outside_grid
2948009.897_-221266.42,1,,Wahpeton Shallow Sand,2948009.897,-221266.42,,,926.11,921.11,bh_307,drop,drop
2948011.675_-221269.118,1,Clay,,2948011.675,-221269.1175,966.6324368,928.6324368,,,bh_308,drop,drop
2948011.675_-221269.118,2,Aquifer,,2948011.675,-221269.1175,928.6324368,922.6324368,,,bh_308,drop,drop
2948011.675_-221269.118,3,Clay,,2948011.675,-221269.1175,922.6324368,913.6324368,,,bh_308,drop,drop
2948024.033_-221265.708,1,,Wahpeton Sand Plain,2948024.033,-221265.7076,,,840.02,835.02,bh_309,outside_grid,outside_grid
2948025.811_-221268.405,1,Clay,,2948025.811,-221268.4051,966.6302628,944.6302628,,,bh_310,drop,drop
2948025.811_-221268.405,2,Aquifer,,2948025.811,-221268.4051,944.6302628,940.6302628,,,bh_310,drop,drop
2948025.811_-221268.405,3,Clay,,2948025.811,-221268.4051,940.6302628,929.6302628,,,bh_310,drop,drop
2948025.811_-221268.405,4,Aquifer,,2948025.811,-221268.4051,929.6302628,924.6302628,,,bh_310,drop,drop
2948025.811_-221268.405,5,Clay,,2948025.811,-221268.4051,924.6302628,844.6302628,,,bh_310,drop,drop
