site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
487,31344,917.77,57.11,974.88,13304720ABDB2,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,280,248,253,2949170.077,-221985.6436,973.06
488,31343,937.82,37.36,975.18,13304720ABDB3,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,55,45,50,2949170.077,-221985.6436,973.23
489,31512,916.375,61.035,977.41,13304720ABDB4,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,273,278,2948961.007,-221849.705,976.03
490,31512,916.59,62.04,978.63,13304720ABDB5,Wahpeton Sand Plain,Observation Well - Destroyed,Survey 0.01 ft,120,108,113,2949096.183,-222025.9019,975.84
491,31512,938.12,40.32,978.44,13304720ABDB6,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,50,55,2948962.827,-221885.7781,975.88
492,31685,938.4566667,35.46333333,973.92,13304720ABDB7,Wahpeton Shallow Sand,Industrial Well,Survey 0.01 ft,120,95,115,2949196.041,-221983.603,972.66
493,32595,921.54,64.01,985.55,13304720ABDB8,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,0,92,102,2948968.125,-221995.8318,983.56
495,31337,918.025,67.755,985.78,13304720ABDC1,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,286,278,283,2949114.548,-222389.9116,984.1
496,31337,918.13,67.93,986.06,13304720ABDC2,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,135,128,133,2949114.548,-222389.9116,984.22
497,31337,938.05,47.33,985.38,13304720ABDC3,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,75,67,72,2949114.548,-222389.9116,984.23
498,31685,915.0166667,59.51333333,974.53,13304720ABDDAB,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,272,265,270,2949358.538,-222194.5846,972.36
499,31294,966.534,5.856,972.39,13304720ABDDA2,Undefined,Observation Well - Destroyed,Survey 0.01 ft,11,9,12,2949439.553,-222300.452,971.06
