id,obsprefix,obstype,group,node,layer,row,col,k,i,j,idom,aquifer,well_depth,gwe_ft,sp,start_dt,end_dt,x_2265,y_2265,geometry
29,ssh_id:29_k:1_i:40_j:29,ss_head,sshead_wsp,3190,2,41,30,1,40,29,1,wsp,56.0,926.0,1,1969-12-31,1970-01-01,2909348.037,-192752.2688,POINT (2909348.037 -192752.2688)
30,ssh_id:30_k:1_i:49_j:38,ss_head,sshead_wsp,3910,2,50,39,1,49,38,1,wsp,70.0,945.0,1,1969-12-31,1970-01-01,2917797.111,-193027.153,POINT (2917797.111 -193027.153)
31,ssh_id:31_k:1_i:52_j:47,ss_head,sshead_wsp,4156,2,53,48,1,52,47,1,wsp,40.0,925.0,1,1969-12-31,1970-01-01,2923338.199,-190755.741,POINT (2923338.199 -190755.741)
32,ssh_id:32_k:1_i:50_j:29,ss_head,sshead_wsp,3980,2,51,30,1,50,29,1,wsp,57.0,934.0,1,1969-12-31,1970-01-01,2913644.912,-197237.2225,POINT (2913644.912 -197237.2225)
33,ssh_id:33_k:1_i:48_j:18,ss_head,sshead_wsp,3811,2,49,19,1,48,18,1,wsp,84.0,937.0,1,1969-12-31,1970-01-01,2907192.366,-200883.0558,POINT (2907192.366 -200883.0558)
34,ssh_id:34_k:1_i:50_j:19,ss_head,sshead_wsp,3970,2,51,20,1,50,19,1,wsp,80.0,939.0,1,1969-12-31,1970-01-01,2908446.278,-201745.1946,POINT (2908446.278 -201745.1946)
35,ssh_id:35_k:1_i:52_j:25,ss_head,sshead_wsp,4134,2,53,26,1,52,25,1,wsp,97.0,934.0,1,1969-12-31,1970-01-01,2912251.07,-200041.1175,POINT (2912251.07 -200041.1175)
36,ssh_id:36_k:1_i:62_j:27,ss_head,sshead_wsp,4926,2,63,28,1,62,27,1,wsp,80.0,934.6,1,1969-12-31,1970-01-01,2917789.321,-204286.6199,POINT (2917789.321 -204286.6199)
37,ssh_id:37_k:1_i:73_j:51,ss_head,sshead_wsp,5819,2,74,52,1,73,51,1,wsp,117.0,939.0,1,1969-12-31,1970-01-01,2934448.143,-199732.6208,POINT (2934448.143 -199732.6208)
38,ssh_id:38_k:1_i:65_j:25,ss_head,sshead_wsp,5161,2,66,26,1,65,25,1,wsp,90.0,933.0,1,1969-12-31,1970-01-01,2917671.798,-206681.142,POINT (2917671.798 -206681.142)
39,ssh_id:39_k:1_i:55_j:12,ss_head,sshead_wsp,4358,2,56,13,1,55,12,1,wsp,100.0,945.0,1,1969-12-31,1970-01-01,2907124.149,-206974.9484,POINT (2907124.149 -206974.9484)
40,ssh_id:40_k:1_i:72_j:22,ss_head,sshead_wsp,5711,2,73,23,1,72,22,1,wsp,90.0,935.0,1,1969-12-31,1970-01-01,2919331.804,-211293.9024,POINT (2919331.804 -211293.9024)
41,ssh_id:41_k:1_i:79_j:31,ss_head,sshead_wsp,6273,2,80,32,1,79,31,1,wsp,90.0,943.0,1,1969-12-31,1970-01-01,2926970.771,-211293.9024,POINT (2926970.771 -211293.9024)
42,ssh_id:42_k:1_i:81_j:40,ss_head,sshead_wsp,6440,2,82,41,1,81,40,1,wsp,75.0,946.0,1,1969-12-31,1970-01-01,2932699.995,-208561.5029,POINT (2932699.995 -208561.5029)
43,ssh_id:43_k:1_i:79_j:44,ss_head,sshead_wsp,6286,2,80,45,1,79,44,1,wsp,65.0,944.0,1,1969-12-31,1970-01-01,2933625.485,-206122.9098,POINT (2933625.485 -206122.9098)
44,ssh_id:44_k:1_i:82_j:43,ss_head,sshead_wsp,6522,2,83,44,1,82,43,1,wsp,91.0,954.0,1,1969-12-31,1970-01-01,2934374.692,-207738.845,POINT (2934374.692 -207738.845)
45,ssh_id:45_k:1_i:84_j:42,ss_head,sshead_wsp,6679,2,85,43,1,84,42,1,wsp,72.0,950.0,1,1969-12-31,1970-01-01,2934844.782,-209266.6382,POINT (2934844.782 -209266.6382)
46,ssh_id:46_k:1_i:81_j:26,ss_head,sshead_wsp,6426,2,82,27,1,81,26,1,wsp,68.0,936.0,1,1969-12-31,1970-01-01,2925281.384,-214393.5598,POINT (2925281.384 -214393.5598)
47,ssh_id:47_k:1_i:74_j:13,ss_head,sshead_wsp,5860,2,75,14,1,74,13,1,wsp,96.0,941.0,1,1969-12-31,1970-01-01,2915497.631,-216479.5852,POINT (2915497.631 -216479.5852)
48,ssh_id:48_k:1_i:72_j:11,ss_head,sshead_wsp,5700,2,73,12,1,72,11,1,wsp,36.0,941.0,1,1969-12-31,1970-01-01,2913852.315,-216273.9207,POINT (2913852.315 -216273.9207)
49,ssh_id:49_k:1_i:65_j:3,ss_head,sshead_wsp,5139,2,66,4,1,65,3,1,wsp,106.0,950.0,1,1969-12-31,1970-01-01,2907065.387,-216303.3014,POINT (2907065.387 -216303.3014)
50,ssh_id:50_k:1_i:66_j:2,ss_head,sshead_wsp,5217,2,67,3,1,66,2,1,wsp,88.0,953.0,1,1969-12-31,1970-01-01,2907124.149,-216920.2948,POINT (2907124.149 -216920.2948)
51,ssh_id:51_k:1_i:92_j:38,ss_head,sshead_wsp,7307,2,93,39,1,92,38,1,wsp,40.0,943.0,1,1969-12-31,1970-01-01,2936064.078,-214525.7727,POINT (2936064.078 -214525.7727)
52,ssh_id:52_k:1_i:102_j:52,ss_head,sshead_wsp,8111,2,103,53,1,102,52,1,wsp,90.0,949.0,1,1969-12-31,1970-01-01,2947346.244,-213820.6373,POINT (2947346.244 -213820.6373)
53,ssh_id:53_k:1_i:93_j:35,ss_head,sshead_wsp,7383,2,94,36,1,93,35,1,wsp,25.0,949.0,1,1969-12-31,1970-01-01,2934844.782,-216450.2046,POINT (2934844.782 -216450.2046)
54,ssh_id:54_k:1_i:74_j:6,ss_head,sshead_wsp,5853,2,75,7,1,74,6,1,wsp,72.0,945.0,1,1969-12-31,1970-01-01,2912162.928,-219417.6491,POINT (2912162.928 -219417.6491)
55,ssh_id:55_k:1_i:93_j:25,ss_head,sshead_wsp,7373,2,94,26,1,93,25,1,wsp,127.0,936.0,1,1969-12-31,1970-01-01,2930290.783,-220886.6811,POINT (2930290.783 -220886.6811)
56,ssh_id:56_k:1_i:95_j:24,ss_head,sshead_wsp,7530,2,96,25,1,95,24,1,wsp,125.0,931.0,1,1969-12-31,1970-01-01,2930232.022,-222385.0937,POINT (2930232.022 -222385.0937)
57,ssh_id:57_k:1_i:105_j:46,ss_head,sshead_wsp,8342,2,106,47,1,105,46,1,wsp,70.0,952.0,1,1969-12-31,1970-01-01,2945318.98,-218168.9719,POINT (2945318.98 -218168.9719)
58,ssh_id:58_k:1_i:114_j:48,ss_head,sshead_wsp,9055,2,115,49,1,114,48,1,wsp,80.0,944.0,1,1969-12-31,1970-01-01,2950827.85,-221826.8615,POINT (2950827.85 -221826.8615)
59,ssh_id:59_k:1_i:113_j:42,ss_head,sshead_wsp,8970,2,114,43,1,113,42,1,wsp,27.8,950.0,1,1969-12-31,1970-01-01,2946788.012,-223927.5772,POINT (2946788.012 -223927.5772)
60,ssh_id:60_k:1_i:112_j:39,ss_head,sshead_wsp,8888,2,113,40,1,112,39,1,wsp,49.0,950.8,1,1969-12-31,1970-01-01,2945289.599,-224412.3578,POINT (2945289.599 -224412.3578)
61,ssh_id:61_k:1_i:84_j:6,ss_head,sshead_wsp,6643,2,85,7,1,84,6,1,wsp,110.0,946.0,1,1969-12-31,1970-01-01,2916290.908,-224294.8352,POINT (2916290.908 -224294.8352)
62,ssh_id:62_k:1_i:88_j:5,ss_head,sshead_wsp,6958,2,89,6,1,88,5,1,wsp,90.0,951.0,1,1969-12-31,1970-01-01,2917671.798,-227041.925,POINT (2917671.798 -227041.925)
63,ssh_id:63_k:1_i:95_j:12,ss_head,sshead_wsp,7518,2,96,13,1,95,12,1,wsp,75.0,938.0,1,1969-12-31,1970-01-01,2924326.513,-227203.5185,POINT (2924326.513 -227203.5185)
64,ssh_id:64_k:1_i:98_j:16,ss_head,sshead_wsp,7759,2,99,17,1,98,16,1,wsp,96.0,940.0,1,1969-12-31,1970-01-01,2927220.506,-227203.5185,POINT (2927220.506 -227203.5185)
70,ssh_id:70_k:1_i:105_j:12,ss_head,sshead_wsp,8308,2,106,13,1,105,12,1,wsp,100.0,934.0,1,1969-12-31,1970-01-01,2928660.157,-232697.6981,POINT (2928660.157 -232697.6981)
71,ssh_id:71_k:1_i:112_j:10,ss_head,sshead_wsp,8859,2,113,11,1,112,10,1,wsp,75.0,934.0,1,1969-12-31,1970-01-01,2930569.899,-236884.4392,POINT (2930569.899 -236884.4392)
72,ssh_id:72_k:1_i:114_j:11,ss_head,sshead_wsp,9018,2,115,12,1,114,11,1,wsp,76.0,934.0,1,1969-12-31,1970-01-01,2931847.957,-237472.0519,POINT (2931847.957 -237472.0519)
73,ssh_id:73_k:1_i:109_j:5,ss_head,sshead_wsp,8617,2,110,6,1,109,5,1,wsp,55.0,944.0,1,1969-12-31,1970-01-01,2927014.842,-237560.1939,POINT (2927014.842 -237560.1939)
76,ssh_id:76_k:1_i:115_j:10,ss_head,sshead_wsp,9096,2,116,11,1,115,10,1,wsp,85.0,935.0,1,1969-12-31,1970-01-01,2931656.983,-238412.2324,POINT (2931656.983 -238412.2324)
77,ssh_id:77_k:1_i:116_j:6,ss_head,sshead_wsp,9171,2,117,7,1,116,6,1,wsp,80.0,934.0,1,1969-12-31,1970-01-01,2929967.596,-240586.3997,POINT (2929967.596 -240586.3997)
78,ssh_id:78_k:1_i:115_j:1,ss_head,sshead_wsp,9087,2,116,2,1,115,1,1,wsp,75.0,941.0,1,1969-12-31,1970-01-01,2927220.506,-242334.5477,POINT (2927220.506 -242334.5477)
79,ssh_id:79_k:1_i:122_j:5,ss_head,sshead_wsp,9644,2,123,6,1,122,5,1,wsp,68.0,946.0,1,1969-12-31,1970-01-01,2932479.64,-244082.6958,POINT (2932479.64 -244082.6958)
