Permits,Pods,Well,use_type,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd,well_flag,status
[5424],[15305521B],DUMMY_15305521B,Irrigation,2646901.941361958,399152.32381131494,2647063.7394689857,885176.3445890399,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[5606],[15305521C],DUMMY_15305521C,Irrigation,2646990.1646982823,396524.50914600416,2647150.105234199,882547.8667929765,,,,113.9,365.0,13593.106849315069,dummy well,Deferred
[5010],[15305527B],DUMMY_15305527B,Irrigation,2652369.6137402044,394051.004866785,2652528.9933992755,880069.9457087871,,,,48.0,365.0,5728.438356164384,dummy well,Deferred
[4824],[15305528AS],DUMMY_15305528AS,Irrigation,2649748.0725757694,393306.7001109265,2649906.330521485,879327.3585153525,,,,128.0,365.0,15275.835616438357,dummy well,Deferred
[4824],[15305528S],DUMMY_15305528S,Irrigation,2648498.8422571807,391278.7093722775,2648655.3690008535,877299.8119039035,,,,128.0,365.0,15275.835616438357,dummy well,Deferred
[4824],[15305532A],DUMMY_15305532A,Irrigation,2644625.0385910785,388470.2175240037,2644778.7082867334,874493.467482597,,,,128.0,365.0,15275.835616438357,dummy well,Deferred
[4824],[15305533N],DUMMY_15305533N,Irrigation,2648609.555715039,388178.4961569863,2648763.887245682,874198.838101465,,,,128.0,365.0,15275.835616438357,dummy well,Deferred
[4480],[15305601N],DUMMY_15305601N,Irrigation,2633420.5411065775,414877.8830649084,2633590.256859157,900915.1926298296,,,,66.0,365.0,7876.602739726028,dummy well,Deferred
[5687],[15405508B],DUMMY_15405508B,Irrigation,2639913.5079926495,440745.1848733148,2640103.14744745,926784.6515446653,,,,27.439999999999998,365.0,3274.7572602739724,dummy well,Deferred
[4363],[15405519D],DUMMY_15405519D,Irrigation,2637924.3576745284,427932.9018448077,2638104.401017727,913970.353455079,,,,53.6,365.0,6396.756164383562,dummy well,Deferred
[4366],[15405531A],DUMMY_15405531A,Irrigation,2638199.8276052033,420019.0010247469,2638374.3526889244,906054.230339227,,,,42.96000000000001,365.0,5126.9523287671245,dummy well,Deferred
[4365],[15405532A],DUMMY_15405532A,Irrigation,2643473.3647879814,420205.77692803193,2643649.351485168,906237.314481467,,,,40.14,365.0,4790.406575342467,dummy well,Deferred
[4343],[15405613C],DUMMY_15405613C,Irrigation,2629840.581244471,432938.1709939086,2630022.0109107494,918982.615156739,,,,40.0,365.0,4773.698630136986,dummy well,Deferred
[4343],[15405613D],DUMMY_15405613D,Irrigation,2632486.263759319,433029.64559879765,2632668.4611042095,919072.264026745,,,,40.0,365.0,4773.698630136986,dummy well,Deferred
[4390A],[15405623A],DUMMY_15405623A,Irrigation,2628755.5896764104,431932.10108153784,2628936.0297797206,917977.0347091851,,,,40.1,365.0,4785.632876712329,dummy well,Deferred
[4343],[15405624A],DUMMY_15405624A,Irrigation,2632582.141007931,430393.75477428327,2632762.516820352,916435.608588138,,,,20.0,365.0,2386.849315068493,dummy well,Deferred
[4390B],[15405624AE],DUMMY_15405624AE,Irrigation,2633249.5166582046,430418.0198492847,2633430.085134859,916459.4122014216,,,,20.040000000000003,365.0,2391.6230136986305,dummy well,Deferred
[4390C],[15405624B],DUMMY_15405624B,Irrigation,2630244.5936898883,430662.0596336346,2630424.54148927,916705.6191073188,,,,40.080000000000005,365.0,4783.246027397261,dummy well,Deferred
[4441],[15405624CE],DUMMY_15405624CE,Irrigation,2631787.615696001,428427.6644510811,2631966.4065072886,914469.55913786,,,,40.0,365.0,4773.698630136986,dummy well,Deferred
[4879],[15405636A],DUMMY_15405636A,Irrigation,2632947.855612463,419826.70889040595,2633120.9216654636,905865.5841267579,,,,40.1,365.0,4785.632876712329,dummy well,Deferred
[4879],[15405636C],DUMMY_15405636C,Irrigation,2632727.3211502642,418096.34647960734,2632899.119682201,904134.9416344587,,,,34.9,365.0,4165.052054794521,dummy well,Deferred
[4480],[15405636D],DUMMY_15405636D,Irrigation,2633041.1310908957,417221.66604883893,2633212.3952810345,903259.8229090745,,,,46.800000000000004,365.0,5585.227397260274,dummy well,Deferred
