Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
13212,15105523CCC,56,56A,FALSE,Elk Valley,FALSE,,Observation Well,238,6/18/1991,10/15/2024,23,28,47.875787,-97.665522,2663947.343,332258.3432,2664064.14,818257.0588,,1122.285
12034,15105524AAA,57,57A,FALSE,Elk Valley,FALSE,,Observation Well,259,9/20/1989,11/25/2024,28,33,47.888309,-97.624948,2673727.119,337191.8898,2673849.12,823184.2119,,1121.57875
13126,15105524ACCC,58,58A,FALSE,Elk Valley,TRUE,<15,Irrigation Well,1,10/1/2002,10/1/2002,0,0,47.884135,-97.634611,2671414.623,335582.0409,2671535.057,821575.8099,,
13213,15105524CCC1,59,59A,TRUE,Elk Valley,FALSE,,Observation Well,240,6/18/1991,11/25/2024,45,50,47.875698,-97.643859,2669261.171,332422.3129,2669378.933,818417.1614,,1122.402857
17843,15205429CCC,60,60A,FALSE,Elk Valley,TRUE,"screen is unknown, short data",Observation Well - Destroyed,19,9/3/1965,10/1/1969,0,20,47.948107,-97.601059,2678762.996,359208.6946,2678902.245,845201.127,1107.39,
6083,15205431BBB,61,61A,FALSE,Elk Valley,FALSE,,Observation Well - Recorder,10171,9/1/1965,11/25/2024,48,58,47.946327,-97.622262,2673594.817,358364.9774,2673732.476,844361.0965,1101.813333,1100.47625
32432,15205502CBC,62,62A,FALSE,Elk Valley,TRUE,water levels very low,Observation Well,125,9/14/2006,11/26/2024,46,51,48.009099,-97.665957,2662051.076,380849.917,2662202.986,866858.9742,,1102.143333
32433,15205503DAD1,63,63A,FALSE,Elk Valley,TRUE,water levels very low,Observation Well - PRESENS,6199,9/14/2006,1/14/2025,50,55,48.010225,-97.668196,2661488.292,381240.2156,2661640.369,867249.7653,,1103.41
12135,15205504BBB,64,64A,FALSE,Elk Valley,FALSE,,Observation Well,241,6/28/1990,11/26/2024,53,58,48.019919,-97.708711,2651449.888,384411.9793,2651602.131,870429.4698,,1119.674286
12133,15205504DCC,65,65A,FALSE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,10/15/2024,38,43,48.006543,-97.6979,2654271.381,379632.0563,2654420.779,865646.5039,,1116.542857
