def_well_id,weight
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:214_idx2:51,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:214_idx2:52,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:187_idx2:62,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:193_idx2:45,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:195_idx2:45,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:199_idx2:44,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:203_idx2:59,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:182_idx2:64,0.947368421
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:177_idx2:61,0.947368421
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:176_idx2:58,0.947368421
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:181_idx2:60,0.947368421
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:183_idx2:54,0.947368421
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:196_idx2:68,0.894736842
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:204_idx2:40,0.789473684
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:202_idx2:36,0.789473684
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:199_idx2:38,0.789473684
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:194_idx2:64,0.736842105
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:197_idx2:59,0.736842105
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:201_idx2:58,0.736842105
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:206_idx2:48,0.684210526
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:190_idx2:49,0.684210526
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:188_idx2:45,0.684210526
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:224_idx2:51,0.631578947
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:223_idx2:47,0.631578947
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:225_idx2:67,0.578947368
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:226_idx2:70,0.578947368
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:216_idx2:66,0.578947368
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:177_idx2:49,0.526315789
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:184_idx2:59,0.526315789
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:183_idx2:56,0.526315789
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:149_idx2:28,0.473684211
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:148_idx2:25,0.473684211
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:147_idx2:21,0.421052632
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:146_idx2:17,0.421052632
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:151_idx2:20,0.421052632
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:215_idx2:62,0.368421053
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:203_idx2:65,0.368421053
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:207_idx2:64,0.368421053
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:232_idx2:43,0.315789474
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:191_idx2:69,0.263157895
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:197_idx2:68,0.263157895
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:200_idx2:67,0.263157895
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:198_idx2:63,0.263157895
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:207_idx2:39,0.210526316
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:202_idx2:70,0.157894737
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:158_idx2:23,0.105263158
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:158_idx2:30,0.105263158
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:226_idx2:58,0.052631579
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:217_idx2:69,0.05
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:219_idx2:73,0.05
