use_year	pod_index	permit_number	pod	aquifer	permit_holder_name	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	crop_type1	crop_type2	reported_inches	total_use	comments
1987	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	562.2	0.0	0.0	0	0	0.0	0.0					0.0	
1988	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1988	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	585.2	0.0	1400.0	0	0	0.0	0.0					0.0	
1988	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	562.3	0.0	1400.0	0	0	0.0	0.0					0.0	
1989	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	611.2	0.0	1400.0	0	0	0.0	0.0					0.0	
1989	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1989	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	542.1	0.0	0.0	0	0	0.0	0.0					0.0	
1990	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	577.5	0.0	1400.0	0	0	0.0	0.0					0.0	
1990	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1990	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	577.5	0.0	1400.0	0	0	0.0	0.0					0.0	
1991	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	327.2	0.0	1400.0	0	0	0.0	0.0					0.0	
1991	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	763.4	0.0	1400.0	0	0	0.0	0.0					0.0	
1991	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
