Site_Index	Unit	Begin_Interval	End_Interval	Description
3386	CLAY	50	100	Very silty, olive gray to medium gray, very cohesive, slightly plastic to non-plastic, very calcareous, laminated (fluvial sediment)
3386	SAND	100	120	Very fine- to medium- grained, subangular to rounded, moderately well sorted, approximately 50 to 60% quartz, 10 to 20% shale and carbonates, remainder lignite and granitics, taking some water, not caving in
3386	CLAY	120	156	Very silty, medium gray with occasional light olive gray laminations, very cohesive, slightly plastic, very calcareous, some detrital lignite fragments (fluvial sediments)
3386	CLAY	156	182	Same as above, only interbedded throughout with thin lenses and layers of very fine- to medium- grained sand, no water loss
3386	SAND	182	224	Very slightly gravelly, occasional thin silty clay lenses and layers, very fine- to very coarse- grained, subangular to rounded, moderately well sorted, approximately 40 to 60% quartz, 10 to 20% carbonates, 10 to 20% shale, lignite, granitics and siliceous rocks, taking some water, not caving in
3386	GRAVEL	224	260	Sandy, (approximately 30 to 40% fine- to coarse- grained sand), interbedded with thin clay lenses and layers, fine to coarse, angular to rounded, fair sorting, approximately 20 to 30% carbonates, 20 to 30% shale, 15 to 30% granitics and siliceous rocks, less than 5% lignite, taking some water, not caving
3386	SAND	260	280	Slightly gravelly (approximately 15 to 25% fine to medium gravel), fine- to very coarse-grained (mostly medium to coarse), angular to rounded, moderately well sorted, approximately 60 to 70% quartz, 20 to 30% carbonates, shale, granitics, and lignite, taking some water, not caving in
3386	GRAVEL	280	319	Cobbles, boulders and silty clay, gravel is fine to coarse, angular to rounded, fair sorting, approximately 50 to 60% shale (grayish black, derived from Pierre Formation), remainder, carbonates (limestone and dolomite), granitics, quartzite, chalcedony, chert, metamorphics and lignite, taking some water, not caving in
3386	SHALE	319	340	Medium gray to brownish gray, numerous small white specks, moderately indurated, slightly calcareous to moderately calcareous, bedded (Niobrara Formation)
3387	TOPSOIL	0	1	Brownish black, silty
3387	CLAY	1	8	Moderate yellowish brown, very silty, oxidized, cohesive, plastic
3387	SAND	8	20	Fine to coarse, subrounded to angular, about 30% grave, fine to coarse, mostly carbonates and shale, some quartz and igneous, oxidized 
3387	CLAY	20	23	Medium gray, very silty, cohesive, plastic, calcareous (fluvial sediment)
3387	SAND	23	35	Fine to medium, subangular to rounded, about 40% quartz, others are shale, carbonates and igneous
3387	CLAY	35	40	Olive gray, silty, pebbly, cohesive, plastic, calcareous
3387	CLAY	40	96	Medium gray, very silty, cohesive, plastic, calcareous
3387	SAND	96	115	Fine to coarse, gravelly, subrounded to angular about 50% shale and carbonates; interbedded with alternating layers of clay, olive gray, silty
3387	SAND	115	119	Fine to coarse, rounded to subrounded, abundant lignite
3387	SAND	119	134	Fine to medium, interbedded with about 50% clay lenses, abundant lignite
3387	CLAY	134	156	Light gray to medium gray, very silty, very calcareous, cohesive, plastic
3387	SAND	156	160	Fine to medium, silty, subrounded to angular, about 50% quartz, some lignite, carbonates and igneous
3387	CLAY	160	163	Medium gray, silty, cohesive
3387	GRAVEL	163	185	Fine to coarse; about 30 to 40% sand, coarse; rounded to subangular, about 40 to 50% quartz, carbonates, and shale, some lignite and igneous rocks
3387	SAND	185	200	Fine to coarse; about 40% gravel, medium; rounded to subrounded, abundant quartz and carbonates
3387	GRAVEL	200	216	Medium to coarse, well rounded to subrounded, about 30% sand, coarse, about 50% carbonates and quartz, some shale and igneous rocks
3387	SHALE	216	240	Dark gray, siliceous, indurated, upper part fractured (Pierre Formation)
3388	Loam,sandy	0	2	
3388	SAND	2	4	
3388	SAND	4	6	loamy, coarse
3388	SAND	6	7.5	fine
3388	SAND	7.5	9	loamy, fine
3388	SAND	9	15	loamy
3388	SAND	15	19	
3388	TILL	19	21	loamy
3389	TOPSOIL	0	1	
3389	GRAVEL	1	40	fine to coarse, 30% sand
3389	TILL	40	69	
3389	CLAY	69	163	silty
3389	SAND	163	176	fine to coarse, 15% gravel
3389	GRAVEL	176	215	fine to coarse, 40% sand
3389	BEDROCK	215	220	
3390	TOPSOIL	0	1	
3390	TILL	1	4	
3390	GRAVEL	4	39	sandy
3390	TILL	39	70	
3390	CLAY	70	160	silty
3390	SAND	160	166	fine
3390	CLAY	166	174	silty
3390	GRAVEL	174	201	sandy
3391	TOPSOIL	0	1	
3391	TILL	1	4	
3391	GRAVEL	4	39	fine to coarse, 30% sand
3391	TILL	39	70	
3391	CLAY	70	161	silty
3391	SAND	161	166	fine to medium
3391	CLAY	166	174	silty
3391	GRAVEL	174	201	fine to coarse, 25% sand
3391	BEDROCK	201	210	
3392	TOPSOIL	0	1	
3392	GRAVEL	1	4	fine to coarse, mostly coarse, 10% pebbles
3392	CLAY	4	6	yellow, oxidized
3392	GRAVEL	6	18	as above
3392	CLAY	18	23	yellow, sandy, silty, till
3392	CLAY	23	123	till as above, olive gray
3392	SAND	123	146	fine, grayish brown
3392	CLAY	146	189	dark olive gray, brittle (Pierre ?), taking water, interbedded with lignite and sand, fast drilling
3392	CLAY	189	200	dark olive gray, brittle, sticky, slow drilling, Pierre formation
