Site_Index	Unit	Begin_Interval	End_Interval	Description
3554	SAND	105	135	A few thin clay layers, slightly to moderately gravelly, very fine- to very coarse-grained (mostly medium- to coarse-grained), subangular to rounded, moderately well sorted, about 70% quartz, 20% shale, remainder granitics, lignite, and feldspar, taking small amount of water, becoming more coarse with increasing depth
3554	GRAVEL	135	181	Sandy, (approximately 40% fine- to very coarse-grained sand), fine to coarse (mostly fine to medium), subangular to rounded, moderately well sorted, about 60% quartz, 15% shale, 15% carbonates and granitics, remainder siliceous rocks and lignite, taking some water, caving slightly
3554	SHALE	181	200	Siliceous, grayish black to black, indurated, slightly bentonitic, very slightly fractured, non-calcareous (Pierre Formation)
3555	TOPSOIL	0	1	
3555	CLAY	1	4	yellowish brown, oxidized, silty, sandy with pebbles, till
3555	SAND	4	21	very fine to fine, oxidized, drills as if inter bedded with silty clays
3555	SAND	21	40	gray, unoxidized, very fine to medium, well rounded to subrounded, drills fast
3556	TOPSOIL	0	1	
3556	CLAY	1	4	yellowish brown, oxidized, plastic cohesive, Lake Clays
3556	CLAY	4	21	yellowish brown, silty sandy with pebbles, oxidized till
3556	CLAY	21	35	olive gray, silty, very sandy with pebbles, poorly sorted, till
3557	TOPSOIL	0	1	
3557	CLAY	1	5	yellowish gray, iron stained, plastic cohesive, Lake Clays
3557	GRAVEL	5	6	sandy, oxidized
3557	CLAY	6	11	yellowish brown, silty sandy with pebbles, till
3557	CLAY	11	20	olive gray, silty, sandy with pebbles, poorly sorted till
5269	TOPSOIL	0	1	Silty, pebbly, clay loam; brownish black
5269	CLAY	1	8	Moderately silty, moderately sandy, pebbly, a few cobbles and boulders, moderately yellowish brown, moderately cohesive, crumbles rather easily, oxidized (till)
5269	SILT	8	54	Sandy, moderately clayey, moderately yellowish brown to dark yellowish brown, slightly cohesive, crumbly, well oxidized (glaciofluvial sediment)
5269	SILT	54	91	Sandy, clayey, olive gray, slightly cohesive, breaks easily, moderately calcareous (glaciofluvial sediment), some very fine to fine sand interbeds
5269	CLAY	91	158	Moderately silty to silty, slightly sandy, pebbly, a few cobbles, olive gray, moderately cohesive, slightly plastic, calcareous, a few thin gravel stringers (till)
5269	CLAY	158	221	Silty, moderately sandy to sandy, pebbly, occasional thin gravel stringers, cobbles, a few boulders, olive gray, cohesive, slightly plastic, moderately calcareous (till)
5269	SAND	221	265	Very fine to very coarse, mostly medium to very coarse, subangular to rounded, moderately well-sorted, fairly clean-looking, -sand becomes gravelly below 240 ft. and gravel fraction is fine to medium, about 30% gravel
5269	SHALE	265	280	Siliceous, grayish black to black, brittle, noncalcareous, moderately well-indurated (Pierre Formation)
5270	TOPSOIL	0	1	Sandy loam, black
5270	GRAVEL	1	10	Fine and medium, moderately sorted, subangular to subrounded, moderately rusty 
5270	CLAY	10	20	Silty, lightly sandy, olive gray, soft, cohesive (till) contains many fine- to medium-grained sand layers
5270	SILT	20	30	Clayey with very fine sand, olive gray, moderately soft, moderately cohesive, calcareous
5270	SILT	30	40	As above, becoming sandier
5270	SAND	40	50	Fine to medium, light olive gray, well-sorted but may contain layers of silt and clay
5270	CLAY	50	60	Sandy with pebbles and cobbles, olive gray, moderately soft, cohesive (till)-to- sand, fine to coarse, light olive gray, subangular to subrounded, moderately well-sorted, mainly quartz
5270	CLAY	60	70	Silty to sandy with sandy and gravelly layers, occasional cobbles or boulders, olive gray, moderately soft, cohesive, fairly tight except for loose sandy layers (till)
5270	TILL	70	80	As  above, sandy in spots
5270	TILL	80	90	As above, rocky in spots
5270	TILL	90	100	As above
5270	SAND	100	110	Fine to coarse, light olive gray, well-sorted, subangular to subrounded, clean
5270	GRAVEL	110	120	Fine and medium, sandy, moderately sorted, subangular to subrounded, mainly limestone, shale, and granitic rocks; sand, mostly quartz, very little lignite
5270	GRAVEL AND SAND	120	130	As above, getting coarser
5270	GRAVEL AND SAND	130	140	As above
5270	GRAVEL AND SAND 	140	150	As above-to-shale, olive black, moderately soft to slightly hard, slightly plastic, noncalcareous (Pierre)
5270	SHALE	150	160	As above
5270	SHALE	160	168	As above
5271	CLAY	0	3	Silty, sandy, pebbly, moderately yellowish brown, slightly cohesive, crumbly, oxidized (till)
5271	GRAVEL	3	8	Sandy, fine to coarse, poorly sorted, angular to subrounded, oxidized
5271	CLAY	8	15	Very silty, pebbly, gravelly, olive gray, moderately cohesive, crumbles easily, calcareous (siltill)
5271	SILT	15	52	Clayey, sandy, a few thin sand layers, bedded, medium gray, slightly cohesive, crumbly, samples washing out
5271	SAND	52	91	Silty, slightly clayey, very fine to medium, mostly very fine to fine, subangular to subrounded, well-sorted, lignitic, some shale
5271	CLAY	91	98	Very silty, sandy, medium gray, slightly cohesive to moderately cohesive, plastic, highly calcareous (glaciofluvial sediment)
5271	CLAY	98	160	Moderately silty, pebbly, olive gray, cohesive, crumbles easily, calcareous, gravelly, a few cobbles and boulders (till)
5271	GRAVEL	160	190	Sandy, some clay, fine to coarse (mostly fine to medium), angular to rounded, fair sorting, about 40% tan and buff carbonates, 20% dark gray shale, 15% granitics, 15% brownish western silicates, 10% sandstone and siltstone
5271	GRAVEL	190	201	Sandy and cobbles, similar composition to above section
5271	SHALE	201	220	Siliceous, grayish black to black, moderately well indurated, noncalcareous, some thin, bentonitic layering (Pierre Formation)
5273	GRAVEL	0	10	Fine and medium, moderately sorted, subangular to subrounded, iron-stained, dry, mainly limestone and granitic rocks, some shale
5273	SAND	10	20	Fine, silty, well-sorted, subrounded, moderately olive-brown, would make beautiful plaster sand
5273	SAND	20	30	Fine, silty, light olive gray, same as above, but unoxidized
5273	SAND	30	40	As above
5273	SILT	40	50	Clayey with pebbles and cobbles, olive gray, very poor sample return, can only determine it's till by drilling conditions, probably soft, very sandy and loosely compacted (till)
5273	TILL	50	60	(Silty, sandy?), as above
5273	TILL	60	70	As above, very rocky and several sandy layers
5273	TILL	70	80	As above, sandy and rocky
5273	TILL	80	90	As above-to-sand, medium to coarse with fine shale gravel, moderately well-sorted, subangular to subrounded, mainly quartz, limestone, shale and granitic rocks; green, yellow and orange are common colors in many of the grains, samples appear to be dirty but this is from the mud, it is very thick from fine silty, sand above
5273	SAND	90	100	As above
5273	SAND	100	110	As above-to-shale, olive black, hard, brittle, noncalcareous
5273	SHALE	110	126	As above
5274	TOPSOIL	0	1	Silty, clay loam, black
5274	CLAY	1	13	Very silty to silty, moderate yellowish brown, slightly cohesive, oxidized, crumbly a few thin gravel stringers (till)
5274	CLAY	13	86	Silty, moderately sandy, pebbly, olive gray, moderately cohesive, slightly plastic, calcareous (till)
5274	SAND	86	114	Gravelly (about 30 to 40% fine to medium gravel), fine to very coarse, mostly medium to very coarse, subangular to rounded, fair sorting; gravel is about 40% carbonates, 20% shale, 15% brownish silicates, 15% granitics, 10% siliceous rocks
5274	SHALE 	114	132	Block, siliceous, grayish black to black, some bentonite, slightly fractured, brittle, noncalcareous, an occasional pebble (block of the Pierre Formation)
5274	CLAY	132	224	Silty, moderately sandy to sandy, pebble, olive gray, moderately cohesive, slightly plastic, brittle, calcareous, a few thin gravel stringers (Till)
5274	SHALE	224	240	Siliceous, grayish black to black, moderately well indurated, noncalcareous, slightly brittle, some bentonitic layering (Pierre Formation)
5275	TOPSOIL	0	2	
5275	CLAY	2	5	Very silty
5275	GRAVEL	5	11	Sandy, coarse sand to pebbly, predominantly fine granules, 75% subangular to rounded, fine granules, predominantly limestone and shale with some igneous, 15% coarse to very coarse sand, subangular to rounded, 10% rounded pebbles
5275	CLAY	11	21	Very silty, slightly sandy, soft, plastic, oxidized to 16 ft. (till or fluvial)
5275	SAND	21	26	Fine to coarse, predominantly medium to coarse, subangular to rounded, predominantly subrounded to rounded, limestone and quartz
5275	SILT	26	46	Clayey, soft, olive gray (fluvial or lacustrine)
5275	CLAY	46	71	Silty, sandy, pebbly, firm, olive gray (till)
5275	SILT	71	85	Very clayey, soft, crumbly, olive gray (fluvial or lacustrine)
5275	CLAY	85	112	Silty, sandy, pebbly, soft, plastic, small gravel lens at 101 ft., 106 ft., 109 ft. (till)
5275	CLAY	112	124	Very sandy, medium to coarse sand, soft, plastic (till or fluvial)
5275	CLAY	124	133	Silty, sandy, pebbly, soft, plastic, olive gray, interbedded gravel 133 ft. (till)
5275	GRAVEL	133	157	Sandy, very coarse sand to pebbles 1 in. diameter, 75% fine granules, subangular to rounded, equal limestone, shale and lignite, 15% very coarse sand, subangular to rounded, limestone shale and igneous, 10% rounded pebbles, limestone, shale and igneous, clay 145 ft. to 148 ft., then very coarse pebbles
5275	CLAY	157	160	Macerated shale with shale pebbles
5278	TOPSOIL	0	1	Sandy, silt loam, black
5278	SAND	1	3	Clayey, light gray, soft, loose, marly
5278	GRAVEL	3	7	Fine to medium, sandy, moderately sorted, subangular to subrounded, moderately rusty
5278	CLAY	7	10	Silty to sandy with pebbles, olive gray, soft, cohesive, tight, sticky (till)
5278	TILL	10	20	As above
5278	SAND	20	30	Coarse and very coarse (1/2 to 2 mm), well-sorted, subangular to subrounded, clean, predominantly quartz with shale, limestone, feldspar and other granitic derivatives, and also a few pyrite or marcasite crystals, very good looking sand
5278	SAND	30	40	As above
5278	SAND	40	50	As above-to-clay, silty to sandy with pebbles, olive gray, moderately soft, cohesive, slightly plastic, quite tight (till)
5278	TILL	50	60	As above, occasional rocks and possible small gravel layers
5278	TILL	60	70	As above
5278	SHALE	70	84	Olive black, hard, fissile, brittle, tight, noncalcareous
5314	TOPSOIL	0	3	
5314	SAND	3	6	Very fine to fine
5314	CLAY	6	61	Very silty and sandy (very fine), some detrital lignite, dark yellow-orange, oxidized to 52 ft., then olive gray
5314	SAND	61	84	Very fine to fine, well-sorted, angular to subangular, slightly firmer 80 to 89 ft., poor sample
5314	CLAY	84	142	Very silty, as above
5314	CLAY	142	163	Silty, sandy, pebbly, slightly firm, olive gray (till)
5314	GRAVEL	163	167	Sandy, very coarse sand to pebble, predominantly subangular to rounded granules and pebbles, limestone, lignite, some clay
5314	TILL	167	172	Gravelly
5315	TOPSOIL	0	1	
5315	SAND	1	6	Oxidized, fine
5315	CLAY	6	10	Oxidized, brownish, sand
5315	CLAY	10	53	Oxidized, yellowish, sand
5315	CLAY	53	73	Gray, silt, sand
5315	SAND	73	84	Fine
5315	CLAY	84	85	Gray, silt, sand
5317	TOPSOIL	0	3	
5317	CLAY	3	7	Very silty, soft, plastic
5317	SAND	7	12	Fine to coarse, predominantly medium to coarse, subrounded to rounded, predominantly quartz
5317	CLAY	12	13	
5317	GRAVEL	13	14	Sandy, medium sand to pebbles, predominantly subangular to rounded, limestone and shale granules
5317	CLAY	14	21	Silty
5317	SAND	21	23	
5317	CLAY	23	25	Silty
5317	SAND	25	26	
5317	CLAY	26	43	Very silty, very sandy, pebbly, soft, slightly crumbly, olive gray (till)
5317	GRAVEL	43	45	Rounded, shale pebbles
5317	CLAY	45	96	Slightly silty, slightly sandy, very pebbly, firm, waxy (till), rock at 84 ft.
5317	GRAVEL	96	101	Very sandy, coarse sand and fine pebbles, predominantly very coarse sand and fine and medium granules; 30% coarse sand to very coarse sand, subangular to rounded, 1/2 quartz, 1/2 shale and limestone, 50% granules, subangular and rounded, limestone and shale, 20% rounded shale pebbles
5317	TILL	101	124	As above
5317	SHALE	124	160	Nonsilty, poorly to moderately indurated, waxy, dark gray to black, some is very fissile
5321	TOPSOIL	0	2	
5321	GRAVEL	2	12	Sandy, very coarse sand to pebbles, 1.5 in. diameter, predominantly fine to coarse granules, angular to rounded equal, limestone, igneous and shale fragments, clay lens at 6 ft.
5321	CLAY	12	23	Silty, slightly sandy, slightly pebbly, soft, plastic, cohesive, oxidized, yellow-orange (till)
5321	GRAVEL	23	45	Sandy, very coarse sand to coarse pebbles, 2+ in. diameter, predominantly coarse granules to fine pebbles, fine granules and sand, very angular, coarser material very rounded, predominantly rounded shale pebbles with some limestone, lignite, clay lens at 26 ft., very coarse sand, predominantly quartz
5321	CLAY	45	49	Very sandy
5321	CLAY	49	52	Silty, tight, waxy (lacustrine)
5321	CLAY	52	68	Silty, sandy, pebbly, soft, plastic, cohesive, boulder at 67 ft. (till)
5321	CLAY	68	75	Very silty, very sandy, pebbly, slightly firmer than above, slightly crumbly, olive gray (till)
5321	CLAY	75	81	Very silty, very sandy, pebbly, soft, plastic, cohesive, cobbles at 81 to 85 ft. (till)
5321	GRAVEL	81	85	Very coarse pebbles, predominantly limestone and igneous
5321	Clay	85	90	Till, as above, but darker color with shale pebbles
5321	CLAY	90	94	Silty, sandy, pebbly, firm, waxy, shale pebbles, prominent dark gray, igneous cobbles 93 to 94 ft.
5321	CLAY	94	126	Very silty, very sandy, pebbly, slightly firm, slightly crumbly, limestone and igneous pebbles, then more shale pebbles, rock at 106 ft.
5321	SAND	126	150	Gravelly, fine sand to fine pebbles, predominantly very coarse sand to granules, angular to rounded, predominantly subrounded to rounded, very coarse sand, quartz, shale limestone and igneous, approximately 20% shale, round gravel, interbedded clay below 136 ft. with more igneous and limestone pebbles
5321	CLAY	150	176	Slightly sandy, slightly pebbly, macerated shale with shale pebbles, tight, dark gray
5321	CLAY	176	182	Silty, sandy, pebbly, partially oxidized, soft, plastic (till)
5321	SAND	182	206	Gravelly, medium sand to pebbles, predominantly very coarse to coarse sand, angular to rounded, predominantly subrounded to rounded, 80% quartz, rounded sand to very coarse sand; 10% rounded to subrounded granules, limestone and shale and igneous; 10% pebbles, shale or limestone, interbedded clay to 186 ft., coarse pebbles are interbedded, too; clay, 200 to 201, 205 to 206 ft.; predominantly granules 
5321	CLAY	206	221	Silty, sandy, pebbly, firm, crumbly, rock at 213 ft. (till)
5321	SHALE	221	225	Nonsilty, waxy, dark gray
5322	TOPSOIL	0	3	
5322	TILL	3	6	Oxidized, yellowish sand
5322	SAND AND GRAVEL	6	12	Oxidized
5322	TILL	12	24	Oxidized, yellowish sand
5322	GRAVEL	24	46	Oxidized, coarse shale
5322	TILL	46	81	Gray sand
5322	ROCKS AND GRAVEL	81	85	
5322	TILL	85	93	Gray sand
5322	TILL	93	133	Gray-black sand
5322	SAND AND GRAVEL	133	156	
5322	TILL	156	160	Gray sand
5323	TOPSOIL	0	3	
5323	TILL	3	7	Oxidized, yellowish sand
5323	GRAVEL	7	12	Oxidized
5323	TILL	12	21	Oxidized, yellowish sand
5323	GRAVEL	21	26	
5323	TILL	26	29	Oxidized, sand
5323	CLAY	29	33	Gray sand
5323	GRAVEL	33	44	Shale, coarse
5323	ROCK	44	45	
5324	TOPSOIL	0	4	Black, silty
5324	SAND	4	12	Gravelly, medium sand to pebbles, predominantly very coarse sand to fine granules, angular to rounded, equal quartz, igneous and limestone, oxidized
5324	SILT	12	18	To very fine sand, very clayey, cohesive, olive gray
5324	SAND	18	38	Fine to very coarse, predominantly medium to coarse, angular to rounded, predominantly subrounded to rounded, 50% quartz, 40% limestone, 10% dark minerals
5324	SILT	38	46	Clayey, olive gray, shale gravel at 46 ft.
5324	CLAY	46	101	Silty, sandy, pebbly, soft, plastic, cohesive, olive gray, cobble at 77 ft. (till)
5324	CLAY	101	122	Very silty, soft, crumbly, olive gray (lacustrine)
5324	SAND	122	126	
5324	CLAY	126	131	
5324	SAND	131	177	Fine to very coarse, predominantly medium to coarse, angular to rounded, predominantly subrounded to subangular, predominantly quartz, much limestone and shale, interbedded shale, gravel and lignite, and some silty clay; below 140 ft., appears to be cleaner; 155 to 160 ft., much detrital lignite
5324	SAND	177	227	Medium to fine granules, predominantly coarse to very coarse sand, angular to rounded, predominantly subangular to subrounded, equal proportions quartz and limestone, with minor amounts granitic; gravel portion is rounded shale; below 200, much interbedded, rounded shale gravel
5324	SHALE	227	240	Nonsilty, waxy (Pierre Shale)
5325	TOPSOIL	0	3	
5325	CLAY	3	5	Silty
5325	SAND	5	13	Gravelly, fine sand to coarse granules, predominantly medium to coarse sand, angular to rounded, predominantly quartz, much limestone, oxidized
5325	CLAY	13	20	Very silty, soft, plastic
5325	SAND	20	37	Gravelly, fine sand to fine pebbles, 70% angular to rounded, coarse sand-70% quartz, 20% limestone, 10% dark minerals, 20% rounded granules and pebbles (pebbles shale), 10% fine to medium sand
5325	CLAY	37	40	
5327	TOPSOIL	0	3	
5327	CLAY	3	8	Very silty, very soft, plastic, oxidized, dark yellow-orange (fluvial or lacustrine)
5327	SAND	8	12	Very fine to fine
5327	CLAY	12	22	Very silty to clayey silt, soft, medium gray mottled with light gray to greenish gray, slightly carbonaceous (fluvial or lacustrine)
5327	SAND	22	24	Fine to very coarse, predominantly coarse to very coarse, predominantly quartz
5327	CLAY	24	40	Silty, sandy, pebbly, soft, cohesive, plastic (till)
5327	SAND	40	48	
5327	GRAVEL	48	58	Fine granules to pebbles (1 in. diameter), predominantly rounded shale and limestone, some igneous, fine granules subangular to rounded with pebbles rounded
5327	CLAY	58	81	Silty, sandy, pebbly, slightly firm, slightly brittle and crumbly, cohesive, olive gray (till)
5327	GRAVEL	81	85	Sandy, very coarse sand to pebbles, 606 subangular to rounded, limestone 30% rounded shale, 10% others; rock at 84 ft.
5327	TILL	85	97	As above
5327	CLAY	97	102	Silty, sandy, pebbly, dark gray, macerated shale with shale pebbles
5327	SHALE	102	127	Medium dark gray, nonsilty, waxy (Pierre Formation); 127 ft, slightly silty
5327	CLAY	127	182	Very silty to slightly silty to very fine sand interbedded, shale and lignite gravel; below 140 ft., predominantly very sandy clay; below 180 ft., more interbedded shale gravels 
5327	GRAVEL	182	272	Very coarse sand to granules-predominantly fine granules, angular to rounded, equal quartz, shale, and limestone interbedded with clay; below 197 ft., more clay and shale pebbles; with equal proportions of igneous, shale, and limestone pebbles; more clay below 229 ft.
5327	SHALE	272	280	Dark gray, nonsilty, waxy (Pierre Formation)
5328	TOPSOIL	0	3	
5328	CLAY	3	12	Silty, sandy, slightly firm, cohesive, oxidized (till)
5328	SAND	12	13	
5328	CLAY	13	21	Very silty, soft, gray
5328	SAND	21	26	Very fine to very coarse, predominantly medium to coarse, angular to rounded, predominantly subrounded to rounded, predominantly quartz, approximately 15% limestone and others
5328	CLAY	26	49	Silty, sandy, pebbly, soft to slightly firm, cohesive, slightly oxidized, olive gray (till)
5328	GRAVEL	49	56	Sandy, very coarse sand to pebbles 3/4 in. diameter, predominantly fine to coarse granules, 40% rounded shale, 40% subangular to subrounded limestone; 20% subrounded to rounded quartz
5328	CLAY	56	61	Slightly to very silty, greenish gray (fluvial or lacustrine)
5328	CLAY	61	79	Silty, sandy, pebbly, soft, cohesive (till)
5328	GRAVEL	79	84	Very coarse sand to pebbles 1 in. diameter, predominantly limestone and igneous with some shale, subangular to subrounded
5328	CLAY	84	89	
5329	TOPSOIL	0	3	
5329	ROCK	3	4	
5329	CLAY	4	21	Silty, soft, oxidized to 11 ft.
5329	SAND	21	28	Gravelly, fine sand to fine pebbles, predominantly very to very coarse, angular to rounded, predominantly subrounded  to rounded, 50% quartz, 30% shale, 20% limestone
5329	CLAY	28	43	Silty, sandy, pebbly, plastic (till)
5329	GRAVEL	43	48	Sandy
5329	CLAY	48	51	
5329	GRAVEL	51	56	
5329	TILL	56	60	
5330	TOPSOIL	0	1	
5330	CLAY	1	13	Oxidized, sand
5330	CLAY	13	23	Gray sand
5330	SAND	23	28	Fine to coarse
5330	CLAY	28	30	Gray sand silt
5332	TOPSOIL	0	2	
5332	CLAY	2	23	Very silty, sandy, pebbly, soft, plastic, cohesive, interbedded-fluvial silty clay, oxidized to 19 ft. (till)
5332	SAND	23	27	Very fine to medium, predominantly medium, subangular to rounded, predominantly quartz, trace of lignite
5332	GRAVEL	27	42	Very coarse sand to pebbles 1 in. diameter, 80% fine granules, angular to rounded, 10% very coarse sand, 10% pebbles, shale, limestone, and igneous, coarse pebbles, predominantly shale and igneous 39 to 42 ft.
5332	CLAY	42	80	Silty, sandy, pebbly, soft, plastic, olive gray (till), sand lens at 53 ft., some interbedded silt below 60 ft., igneous rock 71 to 72 ft.
5332	CLAY	80	95	Silty, sandy, pebbly, slightly firmer than above, darker color, more shale content-like reworked bedrock; cobbles at 96 ft.
5332	GRAVEL	95	105	Fine granules to coarse pebbles, predominantly granules, predominantly shale and limestone, subangular to rounded, coarse pebbles, must be igneous-many fragments; rock at 105 ft.
5334	TOPSOIL	0	2	
5334	CLAY	2	61	Very silty, slightly sandy, soft, plastic, cohesive, oxidized dark yellow-orange(till); sand lens 36 to 37 ft.
5334	SILT	61	73	Slightly clayey, oxidized to 66 ft.
5334	CLAY	73	77	Very silty, thinly laminated, olive gray (lacustrine)
5334	CLAY	77	88	Silty, sandy, pebbly, olive gray (till)
5334	CLAY	88	89	Silty, plastic, olive gray (till)
5334	CLAY	89	140	Silty, sandy, pebbly, firmer than above, plastic, cohesive, interbedded sand 101 to 103 ft. (till); slightly gravelly 107 to 110 ft.; rock at 110 ft.
5334	CLAY	140	144	Silty, waxy, olive gray (lacustrine)
5334	TILL	144	152	Silty
5334	SAND AND GRAVEL	152	170	Very coarse sand to pebbles, predominantly fine granules, angular to rounded, predominantly subangular to rounded, 70% subangular to rounded granules, equal mixture limestone, quartz, shale , lignite; 20% rounded pebbles shale and limestone, some igneous, interbedded clay 167 to 170 ft.
5335	TOPSOIL	0	2	
5335	SAND	2	20	Gravelly, medium sand to coarse granules and fine pebbles; 85% subangular to rounded, coarse to very coarse sand, equal quartz, and limestone; 15% angular to rounded, limestone and shale granules and pebbles, oxidized
5335	CLAY	20	22	Silty, dark yellow-orange, oxidized
5335	GRAVEL	22	26	Sandy, very coarse sand to fine pebbles, predominantly rounded shale granules and pebbles, approximately 15% igneous content
5335	CLAY	26	32	Very silty, soft, plastic, olive gray
5335	TILL	32	40	
5335	GRAVEL	40	48	Very coarse sand and granules, angular to rounded, equal proportions limestone, shale, and igneous; coarser at 44 ft. to pebbles 2 in. diameter; 44 to 48 ft., more quartz and igneous, more angular
5335	CLAY	48	64	Silty, sandy, pebbly, firm, olive gray (till)
5335	SILT	64	68	Very clayey, soft, olive gray (fluvial or lacustrine)
5335	TILL	68	170	As above, small gravel lens at 160 ft.
5335	CLAY	170	244	Very silty, soft, slightly plastic, possibly (fluvial or lacustrine), interbedded sandy clay
5335	GRAVEL	244	260	Sandy, very coarse sand to pebbles; 80% subangular to rounded, shale and limestone granules with trace of igneous and lignite; 10% very coarse sand, 10% pebbles, interbedded clay starting 257 ft.
5335	CLAY	260	280	Slightly silty, slightly sandy, pebbly, firm, waxy, dark gray, reworked bedrock or shale pebbles (till), gravel lens at 276 ft.
5335	CLAY	280	400	Very sandy, soft, plastic, olive gray (fluvial or till); interbedded clay sand, soft and friable
5336	TOPSOIL	0	1	
5336	SAND AND GRAVEL	1	32	Coarse
5336	CLAY	32	40	Gray sand
5337	TOPSOIL	0	2	
5337	CLAY	2	5	Silty
5337	SAND	5	9	Fine
5337	CLAY	9	28	Very silty, sandy, pebbly, soft, very plastic, cohesive, oxidized, dark yellow-orange (till), olive gray at 25 ft.
5337	SAND	28	49	Medium to very coarse to granules, predominantly very coarse granules, angular to rounded, predominantly angular to subangular, 1/3 carbonate, 1/3 shale, 1/3 igneous, becomes gravelly with depth
5337	GRAVEL	49	51	Very coarse
5337	TILL	51	60	
5338	TOPSOIL	0	2	
5338	SAND	2	9	Slightly gravelly, fine sand and granules, predominantly medium to coarse sand, angular to rounded, predominantly subangular to rounded, 70% subrounded to rounded, medium to coarse sand quartz
5338	CLAY	9	11	
5338	SAND	11	28	As above, slightly coarser with fine to medium pebbles with depth
5338	CLAY	28	48	Very silty, slightly sandy, slightly pebbly, soft, cohesive, plastic, partially oxidized, mottled dark yellow-orange and olive gray (till)
5338	SILT	48	56	Clayey, slightly sandy, very soft, slightly cohesive, plastic, olive gray (till-lac?)
5338	GRAVEL	56	72	Very coarse sand to pebbles 1.5 in. diameter, predominantly granules, 505 angular to rounded, limestone, chert, and igneous, shale granules, 50% rounded shale pebbles, less coarse pebbles below 60 ft.
5338	CLAY	72	80	Very silty, very sandy, slightly pebbly, slightly firmer than above till, olive gray (till)
5338	CLAY	80	85	Very silty (lacustrine), possibly interbedded gravel
5338	CLAY	85	89	(Till) as above, boulder at 88 ft.
5338	GRAVEL	89	93	
5338	Clay	93	109	(Till), firmer than above, more sand and pebbles, small interbedded gravel lenses, many shale pebbles
5338	CLAY	109	147	Silty, plastic, cuts as ribbons, (fluvial or lacustrine)-at 136 ft.,  slightly coarser (very, very fine sand) with interbedded detrital lignite
5338	CLAY	147	169	Very sandy (fine-grained), soft, cohesive (fluvial)
5338	GRAVEL	169	187	Very coarse sand to medium granules-predominantly fine granules, angular to rounded, predominantly subrounded to rounded, shale and limestone, some igneous, interbedded clay to 180, -clean 180 to 187 ft.
5339	TOPSOIL	0	2	
5339	SAND	2	14	Fine- to coarse-grained, predominantly medium sand, angular to rounded, predominantly subrounded to rounded, 80% quartz, 20% dark mineral and others
5339	CLAY	14	21	Very silty, sandy, very soft, plastic, cohesive, oxidized
5339	SAND	21	31	Gravelly, fine sand to granules, predominantly coarse to very coarse sand, rounded granules, predominantly subrounded limestone, with some igneous minerals
5339	CLAY	31	49	Very silty, slightly sandy, slightly pebbly, soft, plastic, cohesive, slightly oxidized (till)
5339	SAND	49	56	
5339	GRAVEL	56	69	Very coarse sand to pebbles, predominantly granules, subangular to rounded, predominantly subrounded to rounded, 80% subrounded to rounded limestone, chert and igneous granules, 15% limestone and shale, very coarse sand, 5% limestone and igneous pebbles, becomes coarser with depth and more shale pebbles
5339	CLAY	69	75	
5340	TOPSOIL	0	2	
5340	SAND	2	9	Very fine to fine, well-sorted, subangular to subrounded
5340	CLAY	9	21	Very sandy and silty with clayey sand, soft, cohesive, plastic
5340	SAND	21	31	Gravelly, medium sand to granules, predominantly coarse to very coarse sand, angular to rounded
5340	CLAY	31	34	
5341	TOPSOIL	0	2	
5341	CLAY	2	21	Very silty, very sandy (very fine), slightly pebbly, soft, plastic, cohesive, oxidized to 11 ft., dark yellow-orange, then olive gray (till)
5341	SAND	21	27	Gravelly, very coarse sand to fine pebble-predominantly very coarse sand and fine granules
5341	TILL	27	35	
5342	SAND	0	3	Very fine to fine
5342	SILT	3	11	Clayey, oxidized
5342	GRAVEL	11	12	
5342	CLAY	12	17	Silty, plastic, oxidized, mottled dark yellow-orange and gray, cobble at 17 ft.  (lacustrine and fluvial)
5342	CLAY	17	22	Very silty, very sandy, pebbly, soft, plastic, slightly oxidized (till)
5342	SAND	22	52	Gravelly, fine sand to granules, 80% subangular to rounded, medium to coarse sand, predominantly quartz with some limestone, 15% very coarse to granules, subrounded to rounded, quartz and limestone
5342	CLAY	52	80	Silty, sandy, pebbly, slightly firm, plastic, olive gray (till), -below 65 ft., more silty, softer, more crumbly but with interbedded firm till, -rock at 79 ft.
5342	GRAVEL	80	100	Sandy, coarse sand to pebbles, 80% subangular to rounded, very coarse sand and fine granules, equal quartz and limestone, 10% rounded coarse granules to pebbles, limestone and shale with some igneous, 10% coarse sand, subrounded to rounded, limestone and quartz
5342	CLAY	100	107	Very silty, soft (lacustrine or fluvial)
5342	GRAVEL	107	136	Sandy, very coarse sand to pebbles 1 in. diameter, 70% coarse granules and pebble, rounded, equal igneous and limestone, some shale, 20% fine granules rounded limestone and igneous trace of shale, 10% very coarse sand, quartz and limestone, trace of shale, much interbedded sandy till 121, clean 121 to 131 ft., very rough at 119 to 128 ft., interbedded clay? 131 5o 136 ft.
5342	CLAY	136	140	Nonsilty, tight, waxy, looks like Pierre Formation shale
5343	TOPSOIL	0	2	
5343	CLAY	2	11	Very silty, soft, plastic to slightly friable, oxidized
5343	SAND	11	12	Very coarse to fine pebble
5343	CLAY	12	25	Very silty, sandy, pebbly, soft, plastic, oxidized, mottled dark yellow-orange to yellow-gray (till), -olive gray at 20 ft.
5343	SAND	25	34	Medium to very coarse, predominantly medium to coarse, angular to rounded, predominantly subangular to rounded, predominantly quartz
5343	SILT	34	37	Very clayey, interbedded silty clay
