start_datetime,grp.17_k.0-1_WW-CS,grp.17_k.0-2_WW-SW,grp.17_k.1-2_CS-SW,grp.18_k.0-1_WW-CS,grp.83_k.0-2_WW-SW,grp.116_k.0-2_WW-SW,grp.121_k.0-2_WW-SW,grp.123_k.0-2_WW-SW,grp.124_k.0-2_WW-SW,grp.126_k.0-2_WW-SW,grp.127_k.0-2_WW-SW,grp.215_k.1-2_CS-SW,grp.220_k.0-2_WW-SW
1970-01-01,,,,,,,,,,,14.294216867469913,,
1971-01-01,,,,,,,,,,,13.945959595959494,,
1972-01-01,,,,,,,,,,,15.504111111111115,,
1973-01-01,,,,,,,,,,,13.0689422860994,,
1974-01-01,,,,,,,,,,,15.970000000000027,,
1975-01-01,,,,,,,,,,,15.170000000000073,,
1976-01-01,,,,,,,,,,,13.660000000000082,,
1977-01-01,,,,,,,,,,,24.550508474576418,,
1978-01-01,,,,,,,,,,,16.470000000000027,,
1979-01-01,,,,,41.10357526881717,,,,,,17.1099999999999,,
1980-01-01,,,,,37.11198924731184,-0.19000000000005457,,,,,13.220000000000027,,
1981-01-01,,,,,37.061739130434944,0.10000000000013642,,,,,14.25,,
1982-01-01,,,,,34.71527472527464,-0.029999999999972715,,,,,11.36999999999989,,
1983-01-01,,,,,34.19895604395606,-0.009999999999990905,,,,,9.870107526881839,,
1984-01-01,,,,,33.71527173913046,0.049999999999954525,,,,,12.099999999999909,,
1985-01-01,,,,,34.63107784431145,0.08000000000015461,,,,,11.139999999999873,,
1986-01-01,,,,,34.46539325842696,0.16000000000008185,,,,,12.090000000000146,,
1987-01-01,,,,,34.83393939393932,-0.049999999999954525,,,,,11.059999999999945,,42.39790249433122
1988-01-01,,,,,34.088753623188495,0.03999999999996362,,,,,7.4066666666667516,10.551666666666733,39.826303854875505
1989-01-01,,,,,36.178225806451564,0.03999999999996362,,,,,10.579999999999927,9.426470588235361,40.44197278911565
1990-01-01,,,,,36.95773638968467,0.029999999999972715,,,,,11.309999999999945,8.652608695652361,40.415975056689376
1991-01-01,,,,,37.214413793103404,-0.3127586206896922,,,,,14.400000000000091,8.046382978723386,39.679977324263064
1992-01-01,,,,,35.42000000000007,0.029999999999972715,10.950000000000045,16.15000000000009,12.080176991150665,13.829999999999927,12.509999999999991,8.289999999999964,38.786153617147875
1993-01-01,,,,,34.79281979977759,-0.010967741935473896,10.820000000000164,16.24580645161268,11.75,12.460000000000036,11.49163934426224,8.129687500000045,39.04022529746749
1994-01-01,,,,,34.73999999999978,0.03999999999996362,8.829999999999927,15.089999999999918,10.269999999999982,11.794743589743575,9.049999999999955,14.084574468085066,35.32286328603095
1995-01-01,,,,,35.13033333333351,-0.009999999999990905,8.410000000000082,15.210000000000036,9.350000000000136,11.669999999999845,7.879999999999882,11.768918918918871,33.68288478713907
1996-01-01,,,,,35.78258064516126,0.060000000000172804,7.990000000000009,15.910000000000082,8.839999999999918,10.970000000000027,10.319999999999936,8.522000000000162,33.47381958916344
1997-01-01,,,,,36.73000000000002,-0.01999999999998181,8.700000000000045,15.429999999999836,9.730000000000018,10.960000000000036,7.5499999999999545,6.736097560975622,32.692729979160276
